AGENCIA,CONTA,BANCO,TITULAR,OPERACAO,DATAHORA,VALOR
1520,0007,SANTANDER,ANA,TRANSFERENCIA,2022-02-09T06:07:34,3621.18
2220,0002,SANTANDER,BIA,TRANSFERENCIA,2022-01-03T14:50:10,4534.74
9999,0001,SANTANDER,MARIA,TRANSFERENCIA,2022-02-11T14:44:24,679.36
2220,0002,SANTANDER,JOAO,DEPOSITO,2022-02-06T19:22:33,1637.44
2220,0004,SANTANDER,ANA,DEPOSITO,2022-01-28T00:23:05,3760.30
2220,0004,SANTANDER,MARIA,DEPOSITO,2022-01-02T21:09:58,3745.37
1520,0004,SANTANDER,JULIA,TRANSFERENCIA,2022-01-07T15:53:32,3906.38
1520,0001,SANTANDER,JULIA,SAQUE,2022-01-02T23:29:19,3107.06
3320,0002,SANTANDER,PAULA,TRANSFERENCIA,2022-01-12T02:32:48,2820.28
3320,0007,SANTANDER,CARLOS,DEPOSITO,2022-01-17T06:58:37,3029.86
1520,0002,SANTANDER,CARLOS,SAQUE,2022-02-26T04:25:59,129.37
1044,0007,SANTANDER,BRUNO,TRANSFERENCIA,2022-01-20T06:08:30,380.91
3320,0001,SANTANDER,CARLOS,TRANSFERENCIA,2022-02-28T07:03:37,4027.83
9999,0001,SANTANDER,ANA,TRANSFERENCIA,2022-02-11T14:11:35,3307.95
1520,0004,SANTANDER,JOAO,DEPOSITO,2022-02-17T14:15:09,528.59
1044,0007,SANTANDER,FELIPE,DEPOSITO,2022-01-18T02:25:43,3669.24
1044,0007,SANTANDER,PAULA,DEPOSITO,2022-02-27T12:33:57,1342.71
3320,0001,SANTANDER,CARLOS,DEPOSITO,2022-01-24T16:14:34,3752.63
9999,0007,SANTANDER,ANA,SAQUE,2022-02-17T23:49:03,4254.91
3320,0007,SANTANDER,JULIA,DEPOSITO,2022-01-26T02:00:17,1702.35
9999,0004,SANTANDER,RAFAEL,SAQUE,2022-02-20T03:49:43,4740.36
1520,0002,SANTANDER,BRUNO,DEPOSITO,2022-02-23T21:39:15,3791.07
2220,0007,SANTANDER,PAULA,SAQUE,2022-01-10T00:49:48,1471.88
2220,0002,SANTANDER,CARLOS,TRANSFERENCIA,2022-02-26T11:07:21,1845.73
9999,0004,SANTANDER,BRUNO,TRANSFERENCIA,2022-02-23T10:29:53,1654.63
2220,0004,SANTANDER,CARLOS,DEPOSITO,2022-01-23T09:11:33,604.16
3320,0004,SANTANDER,MARIA,TRANSFERENCIA,2022-02-22T00:39:12,4754.44
3320,0002,SANTANDER,JULIA,TRANSFERENCIA,2022-02-17T00:15:52,1383.22
9999,0004,SANTANDER,MARIA,SAQUE,2022-01-29T18:18:15,1138.19
3320,0004,SANTANDER,JOAO,TRANSFERENCIA,2022-02-21T20:37:29,633.79
1520,0001,SANTANDER,RAFAEL,DEPOSITO,2022-01-13T06:15:09,3189.71
2220,0001,SANTANDER,JOAO,TRANSFERENCIA,2022-01-28T14:33:31,2347.52
2220,0004,SANTANDER,FELIPE,SAQUE,2022-01-25T12:19:02,4705.38
2220,0001,SANTANDER,MARIA,DEPOSITO,2022-02-17T17:51:09,371.34
1520,0002,SANTANDER,FELIPE,TRANSFERENCIA,2022-01-30T11:59:17,426.82
3320,0001,SANTANDER,RAFAEL,DEPOSITO,2022-02-28T20:49:21,2981.04
9999,0002,SANTANDER,RAFAEL,DEPOSITO,2022-02-13T17:46:29,4542.61
1044,0007,SANTANDER,CARLOS,TRANSFERENCIA,2022-01-06T20:20:48,3048.54
1520,0002,SANTANDER,JULIA,DEPOSITO,2022-01-08T21:10:49,786.13
3320,0001,SANTANDER,FELIPE,SAQUE,2022-02-09T15:54:53,2253.07
9999,0007,SANTANDER,CARLOS,SAQUE,2022-01-23T11:22:43,1441.24
1044,0007,SANTANDER,MARIA,TRANSFERENCIA,2022-01-23T15:55:00,4619.63
9999,0002,SANTANDER,BRUNO,SAQUE,2022-02-22T20:55:20,1124.82
3320,0004,SANTANDER,FELIPE,SAQUE,2022-01-06T18:58:00,830.45
1044,0004,SANTANDER,PAULA,SAQUE,2022-02-15T12:08:43,3443.70
2220,0004,SANTANDER,RAFAEL,TRANSFERENCIA,2022-02-17T22:37:34,2189.36
9999,0001,SANTANDER,BRUNO,TRANSFERENCIA,2022-02-01T07:03:49,3018.96
1520,0001,SANTANDER,JULIA,TRANSFERENCIA,2022-02-25T20:18:39,2936.03
1520,0004,SANTANDER,BIA,SAQUE,2022-01-18T00:13:26,2353.03
2220,0004,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-12T07:41:08,3174.29
2220,0001,SANTANDER,PAULA,DEPOSITO,2022-02-09T15:31:12,1667.21
1520,0002,SANTANDER,ANA,DEPOSITO,2022-02-18T02:31:35,1441.80
2220,0001,SANTANDER,PAULA,SAQUE,2022-01-31T12:52:41,1262.74
1520,0007,SANTANDER,RAFAEL,SAQUE,2022-02-22T16:20:04,2310.42
1520,0002,SANTANDER,RAFAEL,DEPOSITO,2022-02-18T09:34:23,3127.42
1520,0002,SANTANDER,CARLOS,TRANSFERENCIA,2022-01-13T17:16:58,4638.44
2220,0007,SANTANDER,MARIA,SAQUE,2022-01-24T05:36:12,3549.20
1044,0001,SANTANDER,RAFAEL,DEPOSITO,2022-01-10T01:11:35,1124.28
1520,0007,SANTANDER,MARIA,TRANSFERENCIA,2022-01-15T22:46:43,2492.38
1044,0004,SANTANDER,BRUNO,DEPOSITO,2022-02-15T20:21:06,1219.41
9999,0002,SANTANDER,BRUNO,SAQUE,2022-02-28T04:39:03,2541.70
3320,0001,SANTANDER,CARLOS,DEPOSITO,2022-02-02T23:58:00,4671.31
9999,0004,SANTANDER,JOAO,DEPOSITO,2022-01-29T23:41:07,4187.54
9999,0007,SANTANDER,FELIPE,DEPOSITO,2022-02-22T06:59:01,2422.22
1044,0007,SANTANDER,PAULA,DEPOSITO,2022-01-19T07:35:30,4903.89
3320,0007,SANTANDER,JULIA,DEPOSITO,2022-01-05T05:42:20,1591.56
2220,0007,SANTANDER,BRUNO,TRANSFERENCIA,2022-01-15T18:25:51,2477.15
1520,0002,SANTANDER,RAFAEL,TRANSFERENCIA,2022-02-02T05:36:13,4348.63
2220,0001,SANTANDER,RAFAEL,DEPOSITO,2022-01-02T11:45:44,3612.50
2220,0002,SANTANDER,MARIA,DEPOSITO,2022-01-26T17:32:52,1693.47
2220,0001,SANTANDER,ANA,TRANSFERENCIA,2022-02-21T19:25:48,1900.67
1044,0007,SANTANDER,RAFAEL,SAQUE,2022-01-07T15:25:54,1174.62
1044,0002,SANTANDER,MARIA,DEPOSITO,2022-01-10T13:23:20,3802.09
1520,0007,SANTANDER,FELIPE,TRANSFERENCIA,2022-01-30T01:48:23,4517.22
1520,0004,SANTANDER,JOAO,DEPOSITO,2022-02-04T19:16:48,1874.83
3320,0002,SANTANDER,RAFAEL,DEPOSITO,2022-02-24T22:42:28,3409.32
3320,0002,SANTANDER,FELIPE,SAQUE,2022-02-07T03:23:34,3098.93
3320,0007,SANTANDER,BIA,SAQUE,2022-01-23T13:02:17,2306.29
1044,0007,SANTANDER,CARLOS,TRANSFERENCIA,2022-01-01T21:53:51,4494.64
2220,0004,SANTANDER,RAFAEL,SAQUE,2022-01-08T04:06:38,2209.21
1044,0004,SANTANDER,BRUNO,TRANSFERENCIA,2022-01-25T06:46:15,2284.72
1044,0002,SANTANDER,BRUNO,DEPOSITO,2022-01-11T08:31:12,1186.79
9999,0004,SANTANDER,BIA,DEPOSITO,2022-01-29T15:56:15,110.68
2220,0004,SANTANDER,JOAO,TRANSFERENCIA,2022-01-05T18:16:52,4553.17
2220,0004,SANTANDER,JULIA,TRANSFERENCIA,2022-02-04T04:58:02,1095.80
3320,0004,SANTANDER,FELIPE,TRANSFERENCIA,2022-01-10T10:24:30,4517.12
1520,0004,SANTANDER,PAULA,SAQUE,2022-02-26T06:30:17,1824.94
3320,0001,SANTANDER,CARLOS,DEPOSITO,2022-02-10T08:11:32,879.02
3320,0004,SANTANDER,RAFAEL,TRANSFERENCIA,2022-01-27T11:02:05,4152.53
1044,0007,SANTANDER,CARLOS,TRANSFERENCIA,2022-02-02T21:15:49,4021.36
2220,0001,SANTANDER,FELIPE,SAQUE,2022-02-08T14:02:09,4836.38
9999,0004,SANTANDER,MARIA,DEPOSITO,2022-01-02T08:25:58,1323.03
1520,0007,SANTANDER,ANA,TRANSFERENCIA,2022-01-26T10:52:49,2923.22
1044,0001,SANTANDER,JULIA,DEPOSITO,2022-01-03T10:18:41,3098.11
9999,0004,SANTANDER,BIA,SAQUE,2022-01-07T03:18:22,3177.38
2220,0004,SANTANDER,BRUNO,SAQUE,2022-01-14T13:42:14,227.69
1520,0004,SANTANDER,PAULA,SAQUE,2022-01-10T10:28:25,1174.77
9999,0002,SANTANDER,BRUNO,DEPOSITO,2022-02-06T00:31:10,3352.76
9999,0007,SANTANDER,BIA,TRANSFERENCIA,2022-01-16T00:03:52,4427.18
1520,0007,SANTANDER,BIA,DEPOSITO,2022-01-28T03:50:30,164.55
1044,0002,SANTANDER,PAULA,DEPOSITO,2022-01-23T22:10:56,4277.40
1520,0004,SANTANDER,RAFAEL,TRANSFERENCIA,2022-02-04T19:46:14,303.69
1044,0002,SANTANDER,MARIA,DEPOSITO,2022-01-09T21:36:52,3314.18
9999,0001,SANTANDER,JOAO,DEPOSITO,2022-01-24T15:33:23,4944.12
9999,0002,SANTANDER,MARIA,TRANSFERENCIA,2022-01-21T02:42:41,2932.33
3320,0004,SANTANDER,FELIPE,TRANSFERENCIA,2022-01-01T06:36:26,1387.10
3320,0002,SANTANDER,RAFAEL,DEPOSITO,2022-01-17T22:36:27,550.52
1520,0002,SANTANDER,JOAO,DEPOSITO,2022-01-24T02:25:14,2944.68
1520,0002,SANTANDER,CARLOS,SAQUE,2022-01-13T07:22:07,3708.85
9999,0001,SANTANDER,MARIA,DEPOSITO,2022-02-13T12:33:25,3890.31
9999,0001,SANTANDER,PAULA,TRANSFERENCIA,2022-01-22T12:14:54,4727.13
1520,0004,SANTANDER,PAULA,TRANSFERENCIA,2022-01-04T00:35:10,305.07
2220,0007,SANTANDER,BRUNO,TRANSFERENCIA,2022-01-11T11:34:09,2451.85
2220,0001,SANTANDER,MARIA,DEPOSITO,2022-01-15T09:38:34,329.35
1044,0004,SANTANDER,BRUNO,TRANSFERENCIA,2022-02-21T12:17:13,1475.19
9999,0007,SANTANDER,MARIA,TRANSFERENCIA,2022-01-12T02:36:14,4264.11
9999,0002,SANTANDER,BRUNO,DEPOSITO,2022-01-23T04:25:43,2069.65
2220,0007,SANTANDER,BRUNO,TRANSFERENCIA,2022-01-10T05:33:57,1563.43
1044,0004,SANTANDER,ANA,SAQUE,2022-02-16T01:07:27,336.60
1520,0001,SANTANDER,BRUNO,SAQUE,2022-02-06T04:19:48,4059.03
9999,0001,SANTANDER,BIA,TRANSFERENCIA,2022-02-24T12:49:01,1648.90
1520,0007,SANTANDER,ANA,TRANSFERENCIA,2022-02-11T01:30:51,4340.59
1520,0004,SANTANDER,BIA,DEPOSITO,2022-02-04T03:23:42,518.90
9999,0002,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-16T19:34:57,1122.00
1520,0004,SANTANDER,RAFAEL,DEPOSITO,2022-01-12T03:42:07,3813.27
9999,0002,SANTANDER,BRUNO,TRANSFERENCIA,2022-02-24T01:17:51,132.24
1044,0001,SANTANDER,FELIPE,DEPOSITO,2022-01-30T23:59:11,4607.77
1044,0001,SANTANDER,FELIPE,SAQUE,2022-02-24T23:37:25,3287.07
1520,0002,SANTANDER,JOAO,SAQUE,2022-02-21T12:06:51,1076.45
2220,0007,SANTANDER,ANA,SAQUE,2022-02-05T22:17:10,1558.88
1044,0001,SANTANDER,JOAO,SAQUE,2022-01-16T06:47:29,3772.42
1520,0001,SANTANDER,CARLOS,DEPOSITO,2022-02-11T04:01:33,2428.82
2220,0007,SANTANDER,CARLOS,SAQUE,2022-02-19T17:51:12,569.97
2220,0001,SANTANDER,CARLOS,TRANSFERENCIA,2022-02-27T14:06:10,2433.68
1044,0001,SANTANDER,JULIA,DEPOSITO,2022-02-28T04:31:42,274.86
3320,0004,SANTANDER,JULIA,SAQUE,2022-01-25T19:24:12,1447.95
1520,0001,SANTANDER,PAULA,TRANSFERENCIA,2022-02-11T19:29:56,879.30
2220,0002,SANTANDER,RAFAEL,TRANSFERENCIA,2022-02-04T09:16:09,361.31
1520,0007,SANTANDER,JOAO,DEPOSITO,2022-01-08T13:25:58,4310.69
9999,0007,SANTANDER,BIA,DEPOSITO,2022-02-10T13:17:50,1448.29
2220,0001,SANTANDER,ANA,SAQUE,2022-02-14T16:06:12,4160.30
1044,0001,SANTANDER,BRUNO,SAQUE,2022-01-24T14:58:06,2178.95
2220,0001,SANTANDER,BRUNO,DEPOSITO,2022-02-02T23:07:23,1108.64
3320,0001,SANTANDER,RAFAEL,TRANSFERENCIA,2022-01-12T01:42:04,2653.49
3320,0004,SANTANDER,ANA,TRANSFERENCIA,2022-01-15T08:08:32,1182.11
3320,0004,SANTANDER,JULIA,SAQUE,2022-02-28T11:41:28,765.20
1520,0002,SANTANDER,PAULA,DEPOSITO,2022-02-24T17:35:55,3799.63
2220,0004,SANTANDER,ANA,SAQUE,2022-02-12T16:43:17,342.36
2220,0004,SANTANDER,CARLOS,TRANSFERENCIA,2022-01-06T10:53:25,1760.36
1520,0004,SANTANDER,PAULA,DEPOSITO,2022-01-04T15:37:52,285.39
1044,0001,SANTANDER,MARIA,TRANSFERENCIA,2022-02-27T16:18:22,2535.83
2220,0001,SANTANDER,PAULA,TRANSFERENCIA,2022-01-19T06:37:47,1608.31
2220,0002,SANTANDER,JOAO,DEPOSITO,2022-01-11T01:10:36,4055.02
1044,0001,SANTANDER,RAFAEL,TRANSFERENCIA,2022-01-17T18:05:29,196.67
2220,0007,SANTANDER,RAFAEL,TRANSFERENCIA,2022-01-16T09:54:19,1820.13
1044,0007,SANTANDER,BRUNO,DEPOSITO,2022-02-28T01:10:30,262.78
1044,0001,SANTANDER,ANA,SAQUE,2022-02-24T04:08:54,3392.22
1044,0004,SANTANDER,BIA,SAQUE,2022-02-02T08:47:23,408.43
3320,0004,SANTANDER,CARLOS,TRANSFERENCIA,2022-02-08T01:19:41,645.63
1520,0004,SANTANDER,RAFAEL,DEPOSITO,2022-02-01T21:24:21,4066.11
9999,0001,SANTANDER,BRUNO,TRANSFERENCIA,2022-02-05T03:07:14,92.13
1044,0002,SANTANDER,JULIA,DEPOSITO,2022-02-17T05:05:36,960.83
3320,0002,SANTANDER,MARIA,DEPOSITO,2022-01-10T19:40:30,2538.94
9999,0001,SANTANDER,ANA,TRANSFERENCIA,2022-01-13T17:21:59,2986.63
3320,0002,SANTANDER,FELIPE,TRANSFERENCIA,2022-01-17T01:44:03,3606.19
1520,0007,SANTANDER,ANA,TRANSFERENCIA,2022-01-24T01:29:07,4847.97
9999,0004,SANTANDER,PAULA,SAQUE,2022-02-21T20:20:10,1196.60
2220,0002,SANTANDER,ANA,TRANSFERENCIA,2022-02-25T09:10:24,4922.21
2220,0004,SANTANDER,BRUNO,TRANSFERENCIA,2022-02-21T05:04:13,2093.89
3320,0002,SANTANDER,BIA,SAQUE,2022-01-25T06:32:58,261.85
2220,0004,SANTANDER,RAFAEL,SAQUE,2022-02-20T02:09:21,4255.98
1044,0001,SANTANDER,FELIPE,DEPOSITO,2022-02-13T14:59:22,4526.63
3320,0007,SANTANDER,MARIA,SAQUE,2022-02-13T19:12:15,4423.26
1520,0007,SANTANDER,JOAO,DEPOSITO,2022-02-18T17:45:40,1870.43
2220,0001,SANTANDER,ANA,SAQUE,2022-01-03T17:40:54,1594.11
1520,0004,SANTANDER,FELIPE,SAQUE,2022-01-04T17:15:10,1435.11
2220,0002,SANTANDER,PAULA,DEPOSITO,2022-01-01T12:14:10,4529.38
1520,0004,SANTANDER,JULIA,SAQUE,2022-02-23T06:48:23,4701.19
9999,0007,SANTANDER,MARIA,DEPOSITO,2022-01-24T01:44:30,1506.45
1520,0002,SANTANDER,BRUNO,TRANSFERENCIA,2022-02-14T09:09:06,314.97
2220,0001,SANTANDER,RAFAEL,TRANSFERENCIA,2022-01-24T11:45:24,3593.00
1044,0007,SANTANDER,JOAO,TRANSFERENCIA,2022-02-04T06:07:15,1203.58
2220,0002,SANTANDER,MARIA,TRANSFERENCIA,2022-02-05T00:16:03,339.33
9999,0001,SANTANDER,BRUNO,DEPOSITO,2022-01-05T05:26:33,3178.72
1044,0004,SANTANDER,JOAO,DEPOSITO,2022-01-07T13:25:30,1724.67
1520,0004,SANTANDER,FELIPE,SAQUE,2022-02-04T04:54:58,2730.52
3320,0007,SANTANDER,PAULA,TRANSFERENCIA,2022-01-18T16:44:18,4057.68
1520,0007,SANTANDER,JOAO,DEPOSITO,2022-01-20T13:44:27,219.99
3320,0001,SANTANDER,ANA,DEPOSITO,2022-02-20T00:55:50,1991.72
9999,0007,SANTANDER,CARLOS,SAQUE,2022-01-19T13:18:11,1431.27
1520,0004,SANTANDER,CARLOS,SAQUE,2022-02-05T17:32:48,2185.32
2220,0007,SANTANDER,BRUNO,DEPOSITO,2022-01-19T03:18:56,2481.52
2220,0004,SANTANDER,RAFAEL,DEPOSITO,2022-01-09T00:29:55,3635.68
1520,0007,SANTANDER,BIA,SAQUE,2022-02-22T23:02:50,1469.54
1520,0001,SANTANDER,ANA,TRANSFERENCIA,2022-01-29T16:53:27,1533.17
9999,0007,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-13T02:22:53,1758.38
1520,0004,SANTANDER,BIA,DEPOSITO,2022-01-27T15:45:37,3197.71
1520,0001,SANTANDER,BRUNO,DEPOSITO,2022-02-19T19:34:37,4005.68
3320,0001,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-12T13:01:00,174.96
1520,0002,SANTANDER,ANA,DEPOSITO,2022-02-07T04:06:55,4747.39
1520,0002,SANTANDER,PAULA,DEPOSITO,2022-02-06T02:51:14,2220.25
1520,0002,SANTANDER,RAFAEL,DEPOSITO,2022-02-08T15:29:11,1572.61
1044,0002,SANTANDER,MARIA,SAQUE,2022-01-19T01:31:24,2495.72
2220,0001,SANTANDER,CARLOS,DEPOSITO,2022-02-13T07:53:30,1073.64
9999,0004,SANTANDER,PAULA,SAQUE,2022-01-12T21:45:57,679.51
1520,0007,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-13T05:11:03,4986.31
1044,0004,SANTANDER,MARIA,TRANSFERENCIA,2022-02-22T15:21:03,1452.52
1044,0002,SANTANDER,FELIPE,DEPOSITO,2022-02-19T09:29:12,1121.98
3320,0002,SANTANDER,JULIA,DEPOSITO,2022-01-03T13:14:46,1805.12
9999,0004,SANTANDER,PAULA,TRANSFERENCIA,2022-01-13T14:23:19,3060.13
1520,0001,SANTANDER,CARLOS,DEPOSITO,2022-02-16T11:22:13,2628.95
2220,0001,SANTANDER,FELIPE,DEPOSITO,2022-01-08T04:49:01,2250.42
9999,0004,SANTANDER,FELIPE,TRANSFERENCIA,2022-02-27T01:38:26,910.63
3320,0007,SANTANDER,RAFAEL,SAQUE,2022-01-13T01:18:58,2590.99
